RepRapFirmware height map file v2 generated at 2021-02-10 22:28, min error -0.037, max error 0.250, mean 0.047, deviation 0.063
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
15.00,205.00,15.00,195.00,-1.00,36.00,36.00,6,6
 -0.005, -0.010, -0.002, -0.010, -0.005, -0.022
  0.172, -0.037, -0.027, -0.025, -0.002,  0.035
  0.050,  0.043,  0.008,  0.033,  0.048,  0.075
  0.118,  0.050,  0.025,  0.025,  0.013,  0.080
  0.165,  0.080,  0.065,  0.043,  0.018,  0.055
  0.250,  0.163,  0.125,  0.045,  0.050,  0.013
