RepRapFirmware height map file v2 generated at 2021-02-10 22:19, min error -0.037, max error 0.235, mean 0.045, deviation 0.060
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
15.00,205.00,15.00,195.00,-1.00,36.00,36.00,6,6
 -0.012, -0.002,  0.010, -0.002, -0.020, -0.025
  0.163, -0.035, -0.037, -0.025,  0.005,  0.030
  0.045,  0.045,  0.003,  0.033,  0.050,  0.065
  0.123,  0.058,  0.030,  0.023,  0.020,  0.065
  0.150,  0.092,  0.072,  0.045,  0.013,  0.050
  0.235,  0.153,  0.105,  0.050,  0.038, -0.005
